id,amenity,transit
881f91a88dfffff,2000,1062
881f91a881fffff,2000,861
881f91a889fffff,2000,777
881f91a8c7fffff,2000,1279
881f91a8c3fffff,1835,1005
881f91a88bfffff,2000,654
881f91a883fffff,1999,827
881f91aec7fffff,1470,637
881f91aec3fffff,1593,643
881f91aeddfffff,1843,719
881f91aecbfffff,1960,608
881f91ae89fffff,1437,822
881f91ae83fffff,1656,889
881f91ae81fffff,1740,824
881f91ae8dfffff,1683,714
881f91aed5fffff,1437,822
881f91ae8bfffff,1437,822
881f91a837fffff,2000,1178
881f91a833fffff,2000,915
881f91a9d9fffff,2000,622
881f91a9d1fffff,2000,783
881f91a8adfffff,2000,830
881f91a8e7fffff,2000,644
881f91a8e5fffff,2000,689
881f91a9dbfffff,2000,720
881f91a9d3fffff,2000,890
881f91a9ddfffff,2000,1031
881f91a9cbfffff,2000,1135
881f91a9d5fffff,1998,873
881f91a989fffff,1998,1006
881f91a98bfffff,1996,1076
881f91a99dfffff,1999,1174
881f91a9d7fffff,1999,887
881f91a999fffff,2000,1068
881f91a991fffff,2000,1174
881f91a8a5fffff,2000,1170
881f91a993fffff,2000,1546
881f91a99bfffff,2000,1172
881f91324dfffff,2000,1464
881f91ad25fffff,1929,1203
881f913253fffff,1699,711
881f91ad2dfffff,1615,948
881f91ad21fffff,1725,970
881f91ad23fffff,1710,729
881f91ad27fffff,1812,1060
881f91ad35fffff,1513,833
881f9132cbfffff,886,612
881f9132c9fffff,1118,754
881f9132ddfffff,638,485
881f9132c1fffff,1061,735
881f91321bfffff,1787,1102
881f9132cdfffff,1787,1102
881f91ae2dfffff,1862,739
881f91ae67fffff,1740,693
881f91ae63fffff,1861,710
881f91af5bfffff,1719,696
881f91af53fffff,1644,716
881f91ae29fffff,1900,642
881f91ae2bfffff,1964,566
881f91ae21fffff,1984,572
881f91ae27fffff,1963,540
881f91ae23fffff,2000,410
881f91ae25fffff,1943,566
881f91a891fffff,1967,814
881f91a897fffff,1798,494
881f91a8bbfffff,1962,505
881f91a895fffff,1999,727
881f91a887fffff,1999,963
881f91a8b9fffff,1999,698
881f91a89dfffff,2000,1463
881f91a899fffff,1998,1247
881f91af25fffff,1942,993
881f91af21fffff,1606,866
881f91af27fffff,1503,695
881f91a89bfffff,1965,1032
881f91a893fffff,1315,583
881f91ad69fffff,1145,459
881f91a8b3fffff,1992,544
881f91a8b1fffff,2000,641
881f91a8b7fffff,1948,717
881f913259fffff,1863,637
881f91ad65fffff,1772,838
881f91325dfffff,1930,978
881f91a8b5fffff,2000,632
881f913249fffff,2000,1008
881f91a8a3fffff,2000,866
881f91a8abfffff,2000,980
881f91a8bdfffff,2000,843
881f91ad0bfffff,533,351
881f91ad03fffff,532,324
881f91ad57fffff,234,290
881f91ad55fffff,365,356
881f91ad1dfffff,399,384
881f91ad19fffff,417,349
881f91ad11fffff,1029,677
881f91a8a9fffff,2000,857
881f91a8e1fffff,2000,1149
881f91a8e3fffff,2000,1167
881f91a885fffff,2000,1177
881f91a705fffff,1205,1169
881f91a729fffff,945,917
881f91a72bfffff,2000,1735
881f91a707fffff,672,396
881f91a73dfffff,2000,1149
881f91a731fffff,1224,841
881f91a735fffff,2000,1428
881f91a54bfffff,1202,875
881f91a737fffff,2000,1427
881f91a723fffff,938,695
881f91a721fffff,1199,952
881f91a725fffff,695,571
881f91a727fffff,427,365
881f91a9e3fffff,2000,1832
881f91a9e7fffff,2000,1832
881f91a985fffff,2000,1832
881f91a98dfffff,2000,1438
881f91a9e1fffff,2000,1832
881f91a9c7fffff,2000,871
881f91a9c1fffff,2000,913
881f91a9c3fffff,2000,901
881f91a9ebfffff,2000,913
881f91adc5fffff,1334,537
881f91adcdfffff,1504,650
881f91ac27fffff,1021,472
881f91adc9fffff,1105,412
881f91adc1fffff,1462,499
881f91ac23fffff,869,405
881f91ac3dfffff,1229,403
881f91ac31fffff,1190,372
881f91ac35fffff,750,377
881f91adcbfffff,807,325
881f91ac37fffff,639,342
881f91ac3bfffff,1833,505
881f91ac19fffff,1957,542
881f91aea5fffff,1884,712
881f91ac1bfffff,1994,1016
881f91accdfffff,1993,1087
881f91ac13fffff,1973,978
881f91ac11fffff,1956,684
881f91acc9fffff,1999,781
881f91aea7fffff,1995,881
881f91ace9fffff,1692,694
881f91acc5fffff,1825,785
881f91acc1fffff,1918,731
881f91a197fffff,1987,1434
881f91a193fffff,1987,1518
881f91ae4dfffff,1992,1644
881f91a19bfffff,1989,1824
881f91a191fffff,1989,1824
881f91a0a7fffff,1997,1586
881f91ae47fffff,1888,1269
881f91ae45fffff,1990,1194
881f91ae6bfffff,1954,905
881f91ae41fffff,2000,1448
881f91ae69fffff,1949,863
881f91ae6dfffff,1909,778
881f91ae0dfffff,1711,820
881f91ae61fffff,1853,660
881f91ae65fffff,1853,660
881f91aee5fffff,1849,830
881f91aee1fffff,1913,821
881f91aeedfffff,1985,1092
881f91aee7fffff,1793,469
881f91aeebfffff,1629,690
881f91aee3fffff,1839,587
881f91aea9fffff,1879,509
881f91aeadfffff,1776,571
881f91ac53fffff,1755,596
881f91ac51fffff,1798,553
881f91ac57fffff,1932,722
881f91ac59fffff,1623,721
881f91ac5bfffff,1623,721
881f91ac2bfffff,1145,559
881f91ac07fffff,1630,459
881f91ac05fffff,1382,556
881f91ac03fffff,1981,654
881f91ac01fffff,1963,618
881f91ac0bfffff,1953,733
881f91ac39fffff,1822,535
881f91ad6dfffff,1689,540
881f91ad61fffff,1652,1029
881f91ad63fffff,889,588
881f91ad67fffff,1480,858
881f91ae85fffff,1905,634
881f91ae87fffff,1985,844
881f91a815fffff,2000,1392
881f91a81dfffff,2000,1398
881f91a803fffff,2000,1392
881f91a817fffff,2000,942
881f91a811fffff,2000,942
881f91a80bfffff,2000,1814
881f91a857fffff,2000,1595
881f91a855fffff,2000,1814
881f91a851fffff,2000,1378
881f91a85bfffff,2000,1270
881f91aaadfffff,2000,1460
881f91a853fffff,2000,1277
881f91aaa5fffff,2000,1712
881f91a819fffff,2000,1261
881f91a8e9fffff,2000,1191
881f91a81bfffff,2000,1398
881f91a8edfffff,2000,964
881f91a813fffff,2000,1327
881f91ad5bfffff,170,188
881f91ac2dfffff,221,230
881f91ad53fffff,249,252
881f91ad59fffff,226,273
881f91ac65fffff,205,276
881f91ac67fffff,236,282
881f91af33fffff,271,330
881f91ac6dfffff,305,279
881f91ac61fffff,327,412
881f91ac25fffff,382,318
881f91ad1bfffff,949,593
881f91af37fffff,530,422
881f91ad51fffff,269,321
881f91ad4bfffff,589,496
881f91ad5dfffff,560,481
881f91ac29fffff,615,526
881f91ac21fffff,556,293
881f91ac69fffff,594,411
881f91ac6bfffff,622,484
881f91af17fffff,547,405
881f91af11fffff,834,426
881f91af13fffff,1106,548
881f91af39fffff,677,372
881f91af3bfffff,474,368
881f91af15fffff,456,413
881f91af31fffff,519,485
881f91af35fffff,761,387
881f91ae05fffff,1863,589
881f91ae01fffff,1450,763
881f91ae07fffff,1624,794
881f91ae03fffff,894,683
881f91af0bfffff,1032,549
881f91af1dfffff,719,415
881f91af55fffff,1164,603
881f91af57fffff,1533,705
881f91af03fffff,660,470
881f91af19fffff,956,431
881f91aeb9fffff,1999,1071
881f91aeb1fffff,2000,712
881f91aebbfffff,2000,767
881f9cdb65fffff,2000,1236
881f91aeb3fffff,2000,947
881f91aeb7fffff,2000,797
881f9cdb61fffff,2000,1835
881f9cdb6bfffff,2000,1851
881f9cdb45fffff,2000,1901
881f9cdb6dfffff,2000,1901
881f91a533fffff,667,683
881f91a537fffff,988,578
881f91aed9fffff,1214,928
881f91aed1fffff,1252,987
881f91accbfffff,2000,665
881f91acc3fffff,2000,633
881f91acddfffff,2000,598
881f91acd9fffff,2000,691
881f91acd1fffff,2000,895
881f91acd5fffff,2000,1152
881f91acd3fffff,2000,1491
881f91acdbfffff,2000,1069
881f91acd7fffff,2000,1683
881f9cdb21fffff,2000,1703
881f9cdb63fffff,2000,1703
881f9cdb67fffff,2000,1703
881f9cdb2dfffff,2000,1703
881f9cdb25fffff,2000,1703
881f9cdb0dfffff,2000,1703
881f9cdb29fffff,2000,1817
881f91ac99fffff,2000,1763
881f9cdb05fffff,2000,1837
881f9cdb2bfffff,2000,1904
881f91a8a7fffff,2000,1047
881f91a8a1fffff,2000,960
881f91ad49fffff,978,412
881f91ad41fffff,629,401
881f91ad43fffff,424,382
881f91ad01fffff,560,308
881f91ad39fffff,1144,422
881f91ad07fffff,703,417
881f91ad0dfffff,779,522
881f91ad09fffff,545,327
881f91ad47fffff,608,427
881f91aea1fffff,1971,560
881f91aeabfffff,1999,638
881f91aea3fffff,2000,618
881f91aebdfffff,1999,807
881f91aeb5fffff,2000,680
881f91af69fffff,1000,822
881f91aa97fffff,1356,1135
881f91aa93fffff,1354,1149
881f91aa9bfffff,1354,1149
881f91af45fffff,1077,801
881f91aa91fffff,1354,1149
881f91af41fffff,1118,703
881f91af47fffff,991,629
881f91af43fffff,1179,905
881f91af09fffff,1376,1220
881f91af0dfffff,992,705
881f91af01fffff,823,521
881f91af05fffff,615,368
881f91af07fffff,633,444
881f91af63fffff,805,469
881f91af67fffff,1355,618
881f91af61fffff,566,376
881f91af6dfffff,861,550
881f91af6bfffff,571,357
881f91ad45fffff,599,347
881f91ad4dfffff,1276,518
881f91ad6bfffff,809,570
881f913251fffff,1599,824
881f91325bfffff,1579,685
881f91ad05fffff,605,467
881f91ad29fffff,952,616
881f91ad3dfffff,1542,655
881f91ad31fffff,1560,607
881f91ad2bfffff,1024,611
881f91af1bfffff,1718,492
881f91ac4dfffff,1767,765
881f91ac45fffff,1569,958
881f91ace3fffff,1575,604
881f91ac8dfffff,1634,661
881f91ac85fffff,1470,625
881f91ac81fffff,1730,669
881f91acc7fffff,1791,687
881f91ac89fffff,1990,713
881f91ac8bfffff,1998,1612
881f91ac9dfffff,2000,1762
881f91ace5fffff,1366,442
881f91ace1fffff,1651,493
881f91acedfffff,1562,429
881f91acebfffff,1626,614
881f91a8cdfffff,1920,1334
881f91aaa7fffff,1867,1172
881f91a8c5fffff,2000,1285
881f91a8c1fffff,1859,1108
881f91a8ebfffff,2000,1340
881f91aaabfffff,1878,1545
881f91aaa1fffff,1933,1623
881f91aa85fffff,1858,1496
881f91aaa9fffff,2000,1841
881f91aa87fffff,1716,1151
881f91aab1fffff,1500,854
881f91aab9fffff,1625,1081
881f91aa83fffff,1621,1077
881f91aaa3fffff,1772,1070
881f91aabdfffff,1662,1066
881f91aabbfffff,1589,1053
881f91aa95fffff,1589,1053
881f91af65fffff,1348,700
881f91aab3fffff,1434,947
881f91a8dbfffff,1720,1061
881f91a8d3fffff,1925,807
881f91a8d5fffff,1825,885
881f91a8d7fffff,1986,731
881f91af2dfffff,1418,467
881f91a8d1fffff,1737,1084
881f91a8ddfffff,1708,939
881f91a8cbfffff,1690,921
881f91aab7fffff,1545,851
881f91aab5fffff,1543,751
881f91a8c9fffff,1814,1010
881f91a8d9fffff,1695,1143
881f91324bfffff,1944,1074
881f913245fffff,2000,1871
881f913241fffff,2000,1790
881f913269fffff,2000,1732
881f91ac33fffff,1542,435
881f91add9fffff,955,489
881f91adddfffff,898,358
881f91adc3fffff,1144,397
881f91ad3bfffff,1383,539
881f91adedfffff,1613,700
881f91ad33fffff,1704,962
881f91ade5fffff,1780,1182
881f9132d9fffff,1829,1258
881f91ade7fffff,1829,1258
881f91ad37fffff,1631,950
881f91ac1dfffff,1971,828
881f91ac15fffff,1956,600
881f91ac17fffff,1909,541
881f91af3dfffff,756,426
881f91af23fffff,948,471
881f91af2bfffff,864,594
881f91af29fffff,845,482
881f91ae43fffff,1666,914
881f91a0a3fffff,2000,1331
881f91ae4bfffff,1902,1301
881f91ae49fffff,2000,1527
881f91a0b5fffff,1451,1070
881f91a0a1fffff,2000,1527
881f91a0abfffff,1458,630
881f91ae09fffff,1489,861
881f91ae5dfffff,1771,1000
881f91a0b7fffff,645,424
881f91ae51fffff,937,439
881f91ae55fffff,1058,495
881f91ae57fffff,668,521
881f91ae0bfffff,558,421
881f91ad15fffff,1025,443
881f91ad17fffff,1523,603
881f91ad13fffff,1498,812
881f91adebfffff,834,363
881f91adc7fffff,1073,382
881f91ade9fffff,1476,497
881f91ad8dfffff,347,296
881f91ade3fffff,641,367
881f91ade1fffff,1277,646
881f8a1733fffff,126,126
881f8a1559fffff,154,154
881f8a155bfffff,143,143
881f8a1465fffff,119,119
881f8a1467fffff,169,169
881f8a1429fffff,139,139
881f8a142dfffff,160,160
881f8a142bfffff,155,155
881f8a1405fffff,137,137
881f8a1407fffff,112,112
881f8a143dfffff,142,138
881f8a1439fffff,93,93
881f8a1731fffff,148,148
881f8a173bfffff,135,135
881f8a1739fffff,134,134
881f8a146dfffff,121,121
881f8a1461fffff,138,138
881f8a1463fffff,185,185
881f8a140dfffff,154,154
881f8a146bfffff,151,151
881f8a1401fffff,105,105
881f8a1403fffff,115,115
881f8a1701fffff,149,149
881f8a1703fffff,94,94
881f8a1715fffff,165,165
881f8a1717fffff,173,173
881f8a1711fffff,152,152
881f8a1469fffff,141,141
881f8a1713fffff,157,157
881f8a1445fffff,124,124
881f8a1447fffff,160,160
881f8a1409fffff,117,117
881f8a140bfffff,94,94
881f8a1455fffff,136,136
881f8a1297fffff,151,151
881f8a1293fffff,125,125
881f8a1769fffff,140,140
881f8a1745fffff,153,153
881f8a1747fffff,126,126
881f8a1709fffff,189,189
881f8a170bfffff,121,121
881f8a171dfffff,115,115
881f8a1757fffff,137,137
881f8a1719fffff,126,126
881f8a171bfffff,151,151
881f8a144dfffff,126,126
881f8a1441fffff,98,98
881f8a1449fffff,167,167
881f8a144bfffff,151,151
881f8a1443fffff,140,140
881f8a145dfffff,166,166
881f8a12c7fffff,119,119
881f8a1289fffff,149,149
881f8a128bfffff,161,161
