id,amenity,transit
871f91a88ffffff,1999,903
871f91a8cffffff,1874,1134
871f91aecffffff,1566,638
871f91aedffffff,1502,833
871f91ae8ffffff,1717,785
871f91a83ffffff,2000,1046
871f91a9dffffff,1999,829
871f91a8affffff,2000,958
871f91a8effffff,2000,1020
871f91a9cffffff,2000,939
871f91a98ffffff,1998,1237
871f91a99ffffff,1999,1218
871f91324ffffff,1988,1388
871f91ad2ffffff,1538,876
871f91325ffffff,1742,763
871f91ad3ffffff,1497,710
871f9132cffffff,1078,727
871f9132dffffff,1432,1000
871f91321ffffff,1787,1102
871f91ae2ffffff,1939,595
871f91ae6ffffff,1874,762
871f91af5ffffff,1578,701
871f91a89ffffff,1863,908
871f91a8bffffff,1986,654
871f91af2ffffff,1304,652
871f91ad6ffffff,1348,697
871f91ad0ffffff,608,388
871f91ad5ffffff,296,309
871f91ad1ffffff,977,551
871f91a70ffffff,379,334
871f91a72ffffff,910,772
871f91a73ffffff,1060,724
871f91a54ffffff,282,235
871f91a9effffff,2000,1549
871f91adcffffff,1235,479
871f91ac2ffffff,690,395
871f91ac3ffffff,1297,425
871f91ac1ffffff,1960,741
871f91aeaffffff,1929,641
871f91accffffff,1932,767
871f91aceffffff,1595,552
871f91a19ffffff,1988,1620
871f91ae4ffffff,1919,1328
871f91a0affffff,1827,1192
871f91ae0ffffff,1403,709
871f91aeeffffff,1824,699
871f91ac5ffffff,1762,668
871f91ac0ffffff,1805,603
871f91a81ffffff,2000,1230
871f91a80ffffff,2000,1708
871f91a85ffffff,2000,1425
871f91aaaffffff,1910,1449
871f91ac6ffffff,359,342
871f91af3ffffff,570,399
871f91ad4ffffff,729,426
871f91af1ffffff,905,447
871f91af0ffffff,876,611
871f91aebffffff,1999,830
871f9cdb6ffffff,2000,1650
871f9cdb4ffffff,2000,1901
871f91a53ffffff,774,648
871f91acdffffff,2000,1083
871f9cdb2ffffff,2000,1755
871f9cdb0ffffff,2000,1803
871f91ac9ffffff,2000,1763
871f91af6ffffff,929,556
871f91aa9ffffff,1381,1133
871f91af4ffffff,1073,738
871f91ac4ffffff,1727,804
871f91ac8ffffff,1836,931
871f91aa8ffffff,1709,1181
871f91aabffffff,1557,943
871f91a8dffffff,1799,950
871f91326ffffff,2000,1732
871f91addffffff,936,445
871f91adeffffff,1326,641
871f91a0bffffff,392,306
871f91ae5ffffff,733,421
871f91ad8ffffff,347,296
871f8a173ffffff,134,136
871f8a155ffffff,154,154
871f8a146ffffff,146,146
871f8a142ffffff,160,160
871f8a140ffffff,121,121
